,A ADI,A AJG,AAL APA
2018-12-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2018-12-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-01-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-01-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-01-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-14,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-01-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-01-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
