,A ADI,A AJG,AAL APA
2020-04-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-05-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-05-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-05-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-06-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-06-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-07-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-07-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-08-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-09-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-09-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-10-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-11-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-11-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
