,TOTAL,CASH,AUM
2023/08/14,101661.72,19706.520000000015,81955.20355141163
2023/08/15,100829.61,19706.520000000015,81123.08716845512
2023/08/16,100552.34,19706.520000000015,80845.82443857193
2023/08/17,99979.57,19723.080000000016,80256.48847329617
2023/08/18,100056.84,19723.080000000016,80333.75655055046
2023/08/21,100412.72,19723.080000000016,80689.63744056225
2023/08/22,100182.97,19723.080000000016,80459.88936918974
2023/08/23,101018.03,19723.080000000016,81294.95225137472
2023/08/24,100406.74,19723.080000000016,80683.66444993019
2023/08/25,100737.69,19723.080000000016,81014.60999822617
2023/08/28,101081.91,19723.080000000016,81358.83225882053
2023/08/29,101846.26,19723.080000000016,82123.18403047323
2023/08/30,102102.56,19723.080000000016,82379.47549635172
2023/08/31,101958.68,19723.080000000016,82235.59986793995
2023/09/01,102426.06,19723.080000000016,82702.97855103016
2023/09/05,102296.01,19793.640000000018,82502.36708939075
2023/09/06,101868.19,19793.640000000018,82074.54514801502
2023/09/07,101117.63,19793.640000000018,81323.98694711924
2023/09/08,101463.21,19890.390000000018,81572.82465645671
2023/09/11,101716.01,19890.390000000018,81825.61577254534
2023/09/12,101538.02,19890.390000000018,81647.62757736444
2023/09/13,101571.42,19890.390000000018,81681.03255707026
2023/09/14,102137.03,19914.870000000017,82222.1635529697
2023/09/15,101709.56,19914.870000000017,81794.69374030828
2023/09/18,101814.26,19914.870000000017,81899.391569525
2023/09/19,101874.02,19914.870000000017,81959.14505702257
2023/09/20,101291.22,19914.870000000017,81376.35212990642
2023/09/21,100605.51,19914.870000000017,80690.63913109899
2023/09/22,100325.29,19914.870000000017,80410.41666004062
2023/09/25,100603.21,19914.870000000017,80688.34027573466
2023/09/26,99736.15,19914.870000000017,79821.2790082097
2023/09/27,99622.45,19914.870000000017,79707.57637879252
2023/09/28,99825.03,19914.870000000017,79910.16405045986
2023/09/29,99598.1,19914.870000000017,79683.22805154324
2023/10/02,99858.57,19914.870000000017,79943.69876414537
2023/10/03,98660.85,14857.810000000016,83803.04181206226
2023/10/04,99115.35,14857.810000000016,84257.54143440723
2023/10/05,99263.47,14857.810000000016,84405.6631065607
2023/10/06,100175.22,14952.890000000016,85222.33073210716
2023/10/09,100203.5,14952.890000000016,85250.61347162724
2023/10/10,100424.3,14952.890000000016,85471.41270518303
2023/10/11,100696.51,14952.890000000016,85743.61896586418
2023/10/12,100471.74,14952.890000000016,85518.85369753838
2023/10/13,100113.16,14952.890000000016,85160.26538671553
2023/10/16,100555.75,14952.890000000016,85602.86380495131
2023/10/17,100612.05,14952.890000000016,85659.15616252273
2023/10/18,99611.88,14952.890000000016,84658.9850436598
2023/10/19,99290.76,14952.890000000016,84337.87398828566
2023/10/20,98463.95,14952.890000000016,83511.06442000717
2023/10/23,98538.2,14952.890000000016,83585.31371619552
2023/10/24,98776.98,14952.890000000016,83824.08762944862
2023/10/25,98506.09,253.9600000000155,98252.1333133094
2023/10/26,97907.32,253.9600000000155,97653.36234927177
2023/10/27,97301.42,384.4600000000155,96916.95822146535
2023/10/30,98264.76,384.4600000000155,97880.29784309864
2023/10/31,99091.95,464.2600000000155,98627.68597996235
2023/11/01,99931.23,789.2400000000155,99141.98838356137
2023/11/02,101305.1,844.1600000000154,100460.94166196883
2023/11/03,102037.88,844.1600000000154,101193.72065663338
2023/11/06,101986.2,844.1600000000154,101142.03869655728
2023/11/07,102625.84,939.6500000000154,101686.18732461333
2023/11/08,102723.57,939.6500000000154,101783.91840675473
2023/11/09,102170.12,939.6500000000154,101230.46783569455
2023/11/10,103488.17,939.6500000000154,102548.52330030501
2023/11/13,103188.87,4129.620000000015,99059.25173868239
2023/11/14,104526.64,4129.620000000015,100397.02387344837
2023/11/15,105105.15,4129.620000000015,100975.53187805414
2023/11/16,105765.19,4146.180000000016,101619.01018889248
2023/11/17,105627.17,4146.180000000016,101480.98684303463
2023/11/20,106080.84,4146.180000000016,101934.65933762491
2023/11/21,105811.38,4146.180000000016,101665.20345444977
2023/11/22,106330.07,4146.180000000016,102183.89483067393
2023/11/24,106308.75,4146.180000000016,102162.57309384644
2023/11/27,106101.04,4146.180000000016,101954.86331857741
2023/11/28,106368.18,4146.180000000016,102222.00416322052
2023/11/29,106275.98,4146.180000000016,102129.80394518375
2023/11/30,106763.93,4146.180000000016,102617.74855944514
2023/12/01,107108.34,4146.190000000016,102962.15499392152
2023/12/04,107101.28,4140.270000000016,102961.01195761561
2023/12/05,107226.62,6675.170000000016,100551.44814062119
2023/12/06,107236.53,6675.170000000016,100561.36125990748
2023/12/07,105914.76,4943.660000000016,100971.10002943873
2023/12/08,106367.9,4943.660000000016,101424.23809939623
2023/12/11,106203.92,4943.660000000016,101260.26424318552
2023/12/12,106765.01,4943.660000000016,101821.35392386466
2023/12/13,107405.79,4943.660000000016,102462.12524496019
2023/12/14,107357.38,4970.660000000016,102386.72329764813
2023/12/15,107294.58,4970.660000000016,102323.9247684814
2023/12/18,107499.54,4970.660000000016,102528.8777744025
2023/12/19,108164.85,4970.660000000016,103194.1933622025
2023/12/20,107161.45,5098.960000000016,102062.49499626458
2023/12/21,110426.7,7493.890000000016,102932.81314284354
